entry,stop,target1,target2,exit,pnl_points,result,score,option_type,date,next_date,expiry,strike,spot,entry_date,exit_date,pnl_rupees,equity,peak,drawdown
101.15,85.98,121.38,141.61,85.98,-15.17,LOSS,70,CE,2026-07-10,2026-07-13,2026-07-14,24200.0,24206.9,2026-07-10,2026-07-13,-379.25,49620.75,49620.75,0.0
96.25,81.81,115.5,134.75,81.81,-14.44,LOSS,70,PE,2026-07-10,2026-07-13,2026-07-14,24200.0,24206.9,2026-07-10,2026-07-13,-361.0,49259.75,49620.75,-361.0
58.1,49.38,69.72,81.34,49.38,-8.72,LOSS,70,CE,2026-07-13,2026-07-14,2026-07-14,24250.0,24211.0,2026-07-13,2026-07-14,-218.00000000000003,49041.75,49620.75,-579.0
77.35,65.75,92.82,108.29,108.29,30.94,TARGET2,70,PE,2026-07-13,2026-07-14,2026-07-14,24200.0,24211.0,2026-07-13,2026-07-14,773.5,49815.25,49815.25,0.0
156.5,133.03,187.8,219.1,133.03,-23.47,LOSS,70,CE,2026-07-15,2026-07-16,2026-07-21,24050.0,24078.5,2026-07-15,2026-07-16,-586.75,49228.5,49815.25,-586.75
153.5,130.47,184.2,214.9,130.47,-23.03,LOSS,70,PE,2026-07-15,2026-07-16,2026-07-21,24050.0,24078.5,2026-07-15,2026-07-16,-575.75,48652.75,49815.25,-1162.5
145.5,123.67,174.6,203.7,203.7,58.2,TARGET2,70,CE,2026-07-16,2026-07-17,2026-07-21,24050.0,24072.75,2026-07-16,2026-07-17,1455.0,50107.75,50107.75,0.0
112.5,95.62,135.0,157.5,95.62,-16.88,LOSS,70,PE,2026-07-16,2026-07-17,2026-07-21,24050.0,24072.75,2026-07-16,2026-07-17,-422.0,49685.75,50107.75,-422.0
123.55,105.02,148.26,172.97,105.02,-18.53,LOSS,70,CE,2026-07-17,2026-07-20,2026-07-21,24300.0,24334.3,2026-07-17,2026-07-20,-463.25,49222.5,50107.75,-885.25
123.5,104.97,148.2,172.9,104.97,-18.53,LOSS,70,PE,2026-07-17,2026-07-20,2026-07-21,24300.0,24334.3,2026-07-17,2026-07-20,-463.25,48759.25,50107.75,-1348.5
99.25,84.36,119.1,138.95,84.36,-14.89,LOSS,70,CE,2026-07-20,2026-07-21,2026-07-21,24200.0,24238.5,2026-07-20,2026-07-21,-372.25,48387.0,50107.75,-1720.75
53.1,45.13,63.72,74.34,45.13,-7.97,LOSS,70,PE,2026-07-20,2026-07-21,2026-07-21,24200.0,24238.5,2026-07-20,2026-07-21,-199.25,48187.75,50107.75,-1920.0
171.65,145.9,205.98,240.31,145.9,-25.75,LOSS,70,CE,2026-07-22,2026-07-23,2026-07-28,23950.0,23996.25,2026-07-22,2026-07-23,-643.75,47544.0,50107.75,-2563.75
139.15,118.28,166.98,194.81,118.28,-20.87,LOSS,70,PE,2026-07-22,2026-07-23,2026-07-28,23950.0,23996.25,2026-07-22,2026-07-23,-521.75,47022.25,50107.75,-3085.5
115.95,98.56,139.14,162.33,162.33,46.38,TARGET2,70,PE,2026-07-23,2026-07-24,2026-07-28,23850.0,23869.6,2026-07-23,2026-07-24,1159.5,48181.75,50107.75,-1926.0
138.85,118.02,166.62,194.39,118.02,-20.83,LOSS,70,CE,2026-07-23,2026-07-24,2026-07-28,23850.0,23869.6,2026-07-23,2026-07-24,-520.75,47661.0,50107.75,-2446.75
145.5,123.67,174.6,203.7,203.7,58.2,TARGET2,70,CE,2026-07-24,2026-07-27,2026-07-28,23750.0,23767.45,2026-07-24,2026-07-27,1455.0,49116.0,50107.75,-991.75
91.8,78.03,110.16,128.52,78.03,-13.77,LOSS,70,PE,2026-07-24,2026-07-27,2026-07-28,23750.0,23767.45,2026-07-24,2026-07-27,-344.25,48771.75,50107.75,-1336.0
108.0,91.8,129.6,151.2,91.8,-16.2,LOSS,70,CE,2026-07-27,2026-07-28,2026-07-28,23950.0,23995.95,2026-07-27,2026-07-28,-405.0,48366.75,50107.75,-1741.0
32.45,27.58,38.94,45.43,27.58,-4.87,LOSS,70,PE,2026-07-27,2026-07-28,2026-07-28,23950.0,23995.95,2026-07-27,2026-07-28,-121.75,48245.0,50107.75,-1862.75
124.15,105.53,148.98,173.81,105.53,-18.62,LOSS,70,CE,2026-07-29,2026-07-30,2026-08-04,24250.0,24250.2,2026-07-29,2026-07-30,-465.5,47779.5,50107.75,-2328.25
135.75,115.39,162.9,190.05,115.39,-20.36,LOSS,70,PE,2026-07-29,2026-07-30,2026-08-04,24250.0,24250.2,2026-07-29,2026-07-30,-509.0,47270.5,50107.75,-2837.25
115.5,98.17,138.6,161.7,98.17,-17.33,LOSS,70,PE,2026-07-30,2026-07-31,2026-08-04,24300.0,24317.15,2026-07-30,2026-07-31,-433.24999999999994,46837.25,50107.75,-3270.5
104.2,88.57,125.04,145.88,145.88,41.68,TARGET2,70,CE,2026-07-30,2026-07-31,2026-08-04,24300.0,24317.15,2026-07-30,2026-07-31,1042.0,47879.25,50107.75,-2228.5
105.05,89.29,126.06,147.07,147.07,42.02,TARGET2,70,CE,2026-07-31,2026-08-03,2026-08-04,24350.0,24383.6,2026-07-31,2026-08-03,1050.5,48929.75,50107.75,-1178.0
72.15,61.33,86.58,101.01,61.33,-10.82,LOSS,70,PE,2026-07-31,2026-08-03,2026-08-04,24350.0,24383.6,2026-07-31,2026-08-03,-270.5,48659.25,50107.75,-1448.5
11.0,9.35,13.2,15.4,9.35,-1.65,LOSS,70,CE,2026-08-03,2026-08-04,2026-08-04,24750.0,24774.3,2026-08-03,2026-08-04,-41.25,48618.0,50107.75,-1489.75
180.45,153.38,216.54,252.63,153.38,-27.07,LOSS,70,PE,2026-08-03,2026-08-04,2026-08-04,24750.0,24774.3,2026-08-03,2026-08-04,-676.75,47941.25,50107.75,-2166.5
143.9,122.31,172.68,201.46,172.68,28.78,TARGET1,70,CE,2026-08-05,2026-08-06,2026-08-11,24600.0,24624.65,2026-08-05,2026-08-06,719.5,48660.75,50107.75,-1447.0
136.35,115.9,163.62,190.89,115.9,-20.45,LOSS,70,PE,2026-08-05,2026-08-06,2026-08-11,24600.0,24624.65,2026-08-05,2026-08-06,-511.25,48149.5,50107.75,-1958.25
174.5,148.32,209.4,244.3,148.32,-26.18,LOSS,65,CE,2026-08-06,2026-08-07,2026-08-11,24600.0,24636.0,2026-08-06,2026-08-07,-654.5,47495.0,50107.75,-2612.75
