Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Aug-2026,11-Aug-2026,CE,25050.00,16.00,17.85,6.90,8.25,7.75,8.25,555499.00,9049043.58,4131.11,3676335.00,1876810.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22200.00,-,-,-,2340.15,-,2385.36,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25250.00,4.25,5.95,2.75,3.25,3.10,3.25,483149.00,7931011.43,1328.47,3198260.00,1610505.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26050.00,0.55,0.70,0.55,0.65,0.60,0.65,12722.00,215420.43,5.17,441675.00,-76050.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26550.00,0.75,0.80,0.40,0.50,0.50,0.50,2911.00,50237.61,1.03,50245.00,25220.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,27100.00,0.45,0.45,0.30,0.35,0.35,0.35,7746.00,136447.68,1.89,145795.00,16770.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23100.00,1545.00,1545.00,1545.00,1545.00,1545.00,1485.98,1.00,16.02,1.00,1170.00,-65.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23350.00,1245.00,1245.00,1232.55,1232.55,1232.55,1236.31,3.00,47.94,2.41,1885.00,65.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,27150.00,0.40,0.45,0.30,0.30,0.35,0.30,6285.00,110915.95,1.41,169780.00,14170.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22000.00,2630.00,2630.85,2550.00,2579.50,2579.50,2585.23,67.00,1070.93,112.83,7800.00,2470.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26850.00,0.45,0.55,0.35,0.40,0.35,0.40,1206.00,21048.06,0.35,22230.00,-1950.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23500.00,1113.85,1143.45,1048.00,1105.05,1115.20,1105.05,439.00,7017.60,311.88,97565.00,-8190.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22100.00,-,-,-,2436.90,-,2485.30,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22750.00,-,-,-,1821.15,-,1835.73,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22250.00,-,-,-,2292.00,-,2335.40,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26950.00,0.50,0.70,0.30,0.35,0.30,0.35,1507.00,26399.26,0.39,55640.00,11570.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25700.00,0.90,1.35,0.85,1.00,0.85,1.00,280500.00,4685941.80,189.30,5193435.00,286520.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25850.00,0.60,0.95,0.60,0.80,0.70,0.80,30559.00,513482.93,15.33,939835.00,49660.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25750.00,0.90,1.25,0.80,0.90,1.00,0.90,51572.00,863218.81,32.46,777010.00,4745.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24750.00,45.85,85.85,44.00,51.75,50.20,51.75,1303522.00,21022162.79,51752.61,4011410.00,895700.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23250.00,-,-,-,1208.40,1208.40,1336.14,-,-,-,195.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25150.00,8.90,10.15,4.05,4.95,4.60,4.95,424086.00,6934601.28,1855.39,2675855.00,985920.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22150.00,-,-,-,2388.45,-,2435.33,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,27050.00,0.50,0.50,0.30,0.35,0.30,0.35,4339.00,76291.55,1.08,79040.00,14365.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24950.00,20.00,31.50,13.30,15.65,14.85,15.65,747234.00,12128330.24,10062.84,3423420.00,1739985.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26700.00,0.65,0.70,0.35,0.45,0.40,0.45,16977.00,294641.14,5.30,201500.00,-98150.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26100.00,0.60,0.65,0.50,0.60,0.60,0.60,55441.00,940577.61,21.05,1097525.00,-729495.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25450.00,2.10,2.70,1.40,1.70,1.70,1.70,403276.00,6671741.84,548.61,1586130.00,769015.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23750.00,886.20,890.15,796.45,877.30,877.30,877.30,102.00,1629.60,54.98,9425.00,-65.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24500.00,192.80,219.00,144.05,170.20,167.85,170.20,1858373.00,29804934.49,210344.46,3906305.00,1136525.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23000.00,1663.00,1663.00,1561.00,1603.45,1610.05,1603.45,120.00,1919.34,125.34,51740.00,-4680.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23600.00,1050.60,1050.60,953.00,1005.55,1013.00,1005.55,142.00,2270.98,92.70,25870.00,-2600.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21600.00,3055.40,3055.40,2965.15,2965.15,2965.15,2984.97,2.00,31.99,3.91,455.00,-65.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21650.00,-,-,-,2877.30,-,2935.00,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24200.00,425.00,461.90,366.60,415.80,412.35,415.80,29184.00,466795.14,7730.82,951145.00,-179400.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25300.00,2.75,4.60,2.20,2.70,2.35,2.70,903673.00,14862894.72,1992.23,7555665.00,3106025.00,24570.65
