Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Aug-2026,11-Aug-2026,PE,27200.00,-,-,-,2656.55,-,2611.32,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,21900.00,0.70,0.80,0.40,0.45,0.40,0.45,4206.00,59873.89,1.48,104975.00,-38285.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22650.00,1.20,1.55,0.50,0.75,0.50,0.75,10587.00,155873.41,6.30,139750.00,34840.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22500.00,0.95,1.10,0.55,0.65,0.60,0.65,87374.00,1277885.79,41.04,1977625.00,-632580.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,23750.00,3.40,3.90,1.65,2.05,1.75,2.05,251469.00,3882505.33,452.64,1843530.00,675675.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,26450.00,-,-,-,1943.90,-,1861.82,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,21850.00,0.90,0.95,0.40,0.45,0.40,0.45,493.00,7002.02,0.19,34905.00,5265.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,25050.00,447.45,512.65,423.50,449.05,450.75,449.05,4148.00,68782.49,1242.68,44655.00,2795.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22800.00,1.05,1.40,0.75,0.90,0.90,0.90,28530.00,422833.15,18.55,632645.00,-9555.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,24050.00,7.80,10.40,4.10,4.45,4.70,4.45,399359.00,6244984.86,2005.29,1904760.00,533845.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,23650.00,2.25,3.15,1.20,1.70,1.45,1.70,173005.00,2659770.67,251.31,769470.00,-56355.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,24300.00,25.00,38.85,16.55,19.00,19.50,19.00,1660825.00,26265818.95,33088.07,6084845.00,463970.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,26000.00,1380.00,1451.00,1360.00,1391.60,1385.00,1391.60,227.00,4044.08,207.78,207350.00,2925.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22850.00,1.15,1.45,0.60,0.90,0.60,0.90,16579.00,246250.54,10.94,170495.00,49725.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,26400.00,-,-,-,1897.95,-,1811.85,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,24500.00,79.00,99.70,57.35,63.60,63.45,63.60,4313484.00,68928648.55,236415.85,7324525.00,1499680.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,27000.00,-,-,-,2501.00,2501.00,2411.45,-,-,-,1690.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22000.00,0.70,0.80,0.45,0.50,0.45,0.50,34228.00,489472.94,12.54,1149265.00,-115960.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,26300.00,-,-,-,1806.80,-,1711.92,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22350.00,1.20,1.30,0.50,0.65,0.60,0.65,3840.00,55787.49,1.89,63505.00,9945.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22400.00,0.65,1.20,0.60,0.70,0.60,0.70,18932.00,275658.77,8.85,457860.00,138320.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22050.00,0.95,1.00,0.45,0.50,0.50,0.50,1003.00,14375.89,0.39,38805.00,9100.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,23900.00,4.00,5.80,2.25,2.80,2.50,2.80,522830.00,8123563.73,1399.68,4647045.00,1198015.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,22250.00,0.90,1.05,0.45,0.55,0.60,0.55,1327.00,19192.33,0.59,37700.00,-1235.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,23250.00,1.55,1.85,1.05,1.25,1.10,1.25,30790.00,465342.76,28.89,226460.00,18395.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,25300.00,685.00,744.45,661.00,694.20,692.15,694.20,198.00,3346.76,90.65,21645.00,2600.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,23600.00,1.90,2.80,1.25,1.55,1.25,1.55,396701.00,6085915.09,521.75,3990350.00,1000285.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,23150.00,1.30,1.65,0.90,1.15,0.90,1.15,22993.00,346006.62,19.45,166270.00,-60255.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,26650.00,1861.30,2128.10,1861.30,2128.10,2128.10,2061.69,2.00,37.24,2.60,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,25850.00,1254.00,1254.00,1238.85,1238.85,1238.85,1262.48,2.00,35.23,1.62,520.00,65.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,24150.00,13.00,17.60,6.60,7.45,8.10,7.45,529432.00,8315329.91,4571.09,2545595.00,1066975.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,PE,25200.00,587.95,656.15,563.25,594.65,597.50,594.65,1156.00,19389.12,453.84,60255.00,2405.00,24570.65
